date,SMB,HML
2020-02-01,0.02676617823459283,0.011356062224545434
2020-03-01,0.1425773745437822,-0.03606796789420971
2020-04-01,-0.1485871237789533,0.011055404917972828
2020-05-01,-0.05164565624636708,0.012187398561100349
2020-06-01,0.016151010557911974,0.02645198778078165
2020-07-01,0.06019320304884367,-0.07039330010957837
2020-08-01,-0.08309766444167296,0.03355589613930034
2020-09-01,0.009665089616248249,-0.030396878660977074
2020-10-01,0.007901543884192392,-0.03137277715162934
2020-11-01,-0.08580686427247945,-0.0038002887607232055
2020-12-01,-0.06993365155251087,0.04448154663113141
2021-01-01,0.03885845942212387,0.01022019561115143
2021-02-01,-0.04197760789818166,-0.01766077669596007
2021-03-01,0.043318845030226955,0.012863631336250125
2021-04-01,0.04494413779061086,-0.00652558337670527
2021-05-01,-0.03880462721570344,-0.039404062880287374
2021-06-01,-0.02032325035666291,-0.049125351605898177
2021-07-01,0.04385117983040082,-0.0585637348049714
2021-08-01,-0.012426382966422844,-0.0002442693123975159
2021-09-01,0.02432231598979548,0.07853658287202235
2021-10-01,-0.02977893627433066,0.03474626809757854
2021-11-01,0.0334576457861917,-0.0023380845387691723
2021-12-01,-0.039422672279107236,0.025968199966098015
2022-01-01,0.03251166020098771,-0.1368764728508057
2022-02-01,-0.03521089996263344,0.07169380165602608
2022-03-01,0.035847732812268294,-0.0161966067061945
2022-04-01,0.049015155549062564,-0.14507153678401363
2022-05-01,0.025193828917766843,-0.08352800781418676
2022-06-01,0.04521438935141413,-0.16341089545675508
2022-07-01,-0.022949765152910726,0.026217589954147906
2022-08-01,-0.025785904633537405,0.009648306143428272
2022-09-01,0.07361763086462023,-0.09201811035848828
2022-10-01,0.08545563650016162,-0.15706416470282902
2022-11-01,-0.015172673858995126,-0.05061089033120668
2022-12-01,0.02633865919710265,-0.059819470874004445
2023-01-01,-0.07656118839200834,0.040134726139827555
2023-02-01,0.062044372877528425,-0.027512485717099786
2023-03-01,-0.028038975059718647,-0.027444471973958717
2023-04-01,-0.04649942501513463,0.04397199711546287
2023-05-01,-0.03828305797750622,0.08826595426537645
2023-06-01,0.0007532016119903145,-0.02434109456405445
2023-07-01,-0.06489577056580498,0.017483063525284767
2023-08-01,0.016791561202885417,-0.054898972249774775
2023-09-01,0.03380644094399514,-0.036724057746694044
2023-10-01,0.0946484119394145,-0.04870883484047265
2023-11-01,-0.08611668257327086,0.010410731149398368
2023-12-01,-0.004354876901328554,-0.02708085600966545
2024-01-01,-0.003941852323930653,-0.021837848642881835
2024-02-01,-0.03481178164176703,-0.015034670592594904
2024-03-01,-0.013723070887730612,-0.013668577899897963
2024-04-01,0.03500043759891455,-0.06324592453711644
2024-05-01,-0.07759214828626672,-0.004788976031994255
2024-06-01,0.024787748584775386,-0.05448154625898946
2024-07-01,0.031583717578196197,-0.03419897721772094
2024-08-01,-0.016580614861584724,-0.02039933138972412
2024-09-01,0.02656350182020634,-0.03611067005369167
2024-10-01,0.027816746312412058,-0.03966672133174536
2024-11-01,-0.0014098185146385043,-0.03336345468615829
2024-12-01,0.012193998080864549,-0.03609202194448819
2025-01-01,0.031085589856133716,-0.029994545506809443
2025-02-01,0.012161942716400233,0.011923904028934229
2025-03-01,0.019162038488773542,-0.052419721744837736
2025-04-01,0.03224837991419006,-0.026907310184465745
2025-05-01,-0.0657342159745019,0.00396698956383678
2025-06-01,-0.022537866249251845,-0.00041687715916140927
2025-07-01,-0.04503930439897959,0.029272538881497084
2025-08-01,-0.014623715232571183,-0.0485066719969945
2025-09-01,0.02908717958932439,-0.03067751716541925
2025-10-01,0.023033564508750055,-0.09133499003522957
2025-11-01,0.01677769581415307,-0.033305155997907857
2025-12-01,0.001471584076679073,-0.007856819723208234
